번호,URL,지역,작업,HTTP,H1,Title,Description,OG,Canonical,Robots,Hub,Sitemap,FAQ,Redirect,오류
"27","/gyeonggi/yangju-si/vent-cleaning","경기 양주시","환기구청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"28","/gyeonggi/yangju-si/factory-floor-cleaning","경기 양주시","공장바닥청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"29","/gyeonggi/yangju-si/factory-move-cleaning","경기 양주시","공장이전청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"30","/gyeonggi/yangju-si/factory-exterior-panel-cleaning","경기 양주시","공장외벽판넬청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"31","/gyeonggi/gwangju-si/food-factory-cleaning","경기 광주시","식품공장청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"32","/gyeonggi/gwangju-si/haccp-factory-cleaning","경기 광주시","해썹공장청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"33","/gyeonggi/gwangju-si/factory-hygiene-cleaning","경기 광주시","공장위생청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"34","/gyeonggi/gwangju-si/factory-mold-removal","경기 광주시","공장곰팡이제거","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"35","/gyeonggi/gwangju-si/warehouse-mold-cleaning","경기 광주시","물류창고곰팡이청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"36","/gyeonggi/gwangju-si/factory-diffuser-cleaning","경기 광주시","공장디퓨저청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"37","/gyeonggi/gwangju-si/vent-cleaning","경기 광주시","환기구청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"38","/gyeonggi/gwangju-si/factory-floor-cleaning","경기 광주시","공장바닥청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"39","/gyeonggi/gwangju-si/factory-move-cleaning","경기 광주시","공장이전청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"40","/gyeonggi/gwangju-si/factory-exterior-panel-cleaning","경기 광주시","공장외벽판넬청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"41","/gyeonggi/icheon-si/food-factory-cleaning","경기 이천시","식품공장청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"42","/gyeonggi/icheon-si/haccp-factory-cleaning","경기 이천시","해썹공장청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
"43","/gyeonggi/icheon-si/factory-hygiene-cleaning","경기 이천시","공장위생청소","200","1개 (정상)","정상","정상","정상","정상 (Self)","index, follow (정상)","연결됨","포함됨 (160/160)","정상 (5개)","정상 (Chain 0)","없음"
